what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1528355466038
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1528355466038
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1528355466039
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1528355466039
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1528355466040
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1528355466059
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1528355466060
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1528355466061
os,sysinfo,,,"win32",1528355466063
arch,sysinfo,,,"x86_64",1528355466063
ws,sysinfo,,,"win32",1528355466063
locale,sysinfo,,,"es_ES",1528355466063
processors,sysinfo,,,"8",1528355466063
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1528355466063
java.runtime.version,sysinfo,,,"1.8.0_171-b11",1528355466063
java.specification.name,sysinfo,,,"Java Platform API Specification",1528355466063
java.specification.vendor,sysinfo,,,"Oracle Corporation",1528355466063
java.specification.version,sysinfo,,,"1.8",1528355466063
java.vendor,sysinfo,,,"Oracle Corporation",1528355466063
java.version,sysinfo,,,"1.8.0_171",1528355466063
java.vm.info,sysinfo,,,"mixed mode",1528355466063
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1528355466063
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1528355466063
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1528355466063
java.vm.specification.version,sysinfo,,,"1.8",1528355466063
java.vm.vendor,sysinfo,,,"Oracle Corporation",1528355466064
java.vm.version,sysinfo,,,"25.171-b11",1528355466064
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1528355466072
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1528355466145
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1528355466830
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1528355477144
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1528355477212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355477883
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1528355497950
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1528355499754
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1528355499808
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1528355500023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355504988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355508013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355539388
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1528355542515
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1528355543634
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1528355543639
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1528355544152
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1528355544177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355547434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355552718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355558663
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1528355569035
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1528355569390
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1528355569437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355570091
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355571668
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355571831
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1528355572037
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1528355572089
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355577031
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355584557
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1528355588380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355590835
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355592446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355592497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1528355592504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355598562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355615886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355619269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355620617
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1528355620621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1528355620621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355625776
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1528355634897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355654701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355660332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355666255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355669797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355671462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1528355671469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355679588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355708615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355713881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355731737
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355731855
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355731912
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355737138
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355752233
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1528355754202
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1528355754337
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1528355754514
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1528355754533
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355756788
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355757660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355759512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355763280
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1528355765014
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1528355767969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355770189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355775767
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1528355787264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355809813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355811923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355812074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355817409
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1528355817628
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1528355834175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355834206
closed,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1528355834220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1528355835309
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1528355835314
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1528355837608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1528355837974
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1528355838038
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1528355838054
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1528355838054
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1528355838083
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1528355838094
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1528355838105
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1528355838105
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1528355838105
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1528355838106
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1528355838107
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1528355838159
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1528355838159
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1528355838207
